split_idx,n_splits,n_test,accuracy,f1_macro,mean_regret,zero_regret_rate,within_1pp_rate,within_5pp_rate,target_scenario,feature_set,variant,shuffle_id
2,5,23,0.782608695652174,0.4857142857142857,0.0030666740112346496,0.782608695652174,0.9130434782608695,1.0,simple3_available,context_full,real,
3,5,23,0.7391304347826086,0.4259259259259259,0.009400979634539921,0.782608695652174,0.8695652173913043,0.9130434782608695,simple3_available,context_full,real,
4,5,23,0.6956521739130435,0.48484848484848486,0.030624401180707046,0.6956521739130435,0.8695652173913043,0.8695652173913043,simple3_available,context_full,real,
5,5,23,0.6956521739130435,0.4444444444444444,0.010275665962847914,0.7391304347826086,0.8695652173913043,0.9130434782608695,simple3_available,context_full,real,
6,5,24,0.7083333333333334,0.4484848484848485,0.012411832959140015,0.75,0.875,0.9166666666666666,simple3_available,context_full,real,
7,5,23,0.6956521739130435,0.35360360360360366,0.007438342279478753,0.7391304347826086,0.8260869565217391,0.9565217391304348,simple3_available,context_full,real,
8,5,23,0.8260869565217391,0.5365418894830659,0.00212243563849997,0.8260869565217391,0.9565217391304348,1.0,simple3_available,context_full,real,
9,5,23,0.7391304347826086,0.4930555555555555,0.006060655424943607,0.7391304347826086,0.8695652173913043,0.9565217391304348,simple3_available,context_full,real,
10,5,23,0.6521739130434783,0.40305010893246185,0.037055444137071784,0.6956521739130435,0.8260869565217391,0.9130434782608695,simple3_available,context_full,real,
11,5,24,0.625,0.39627039627039623,0.01578169815694798,0.6666666666666666,0.7916666666666666,0.8333333333333334,simple3_available,context_full,real,
12,5,23,0.7391304347826086,0.4563279857397504,0.016592664871800247,0.782608695652174,0.9565217391304348,0.9565217391304348,simple3_available,context_full,real,
13,5,23,0.782608695652174,0.4857142857142857,0.007462542969710258,0.8260869565217391,0.9130434782608695,0.9130434782608695,simple3_available,context_full,real,
14,5,23,0.6521739130434783,0.34259259259259256,0.00737871305461419,0.6956521739130435,0.782608695652174,0.9565217391304348,simple3_available,context_full,real,
15,5,23,0.7391304347826086,0.4444444444444445,0.017529440977182006,0.7391304347826086,0.8260869565217391,0.9130434782608695,simple3_available,context_full,real,
16,5,24,0.7083333333333334,0.4484848484848485,0.01799265146982007,0.7083333333333334,0.8333333333333334,0.9166666666666666,simple3_available,context_full,real,
17,5,23,0.7391304347826086,0.4563279857397504,0.024215074095254082,0.782608695652174,0.8260869565217391,0.9130434782608695,simple3_available,context_full,real,
18,5,23,0.6956521739130435,0.4148148148148148,0.020678438846871164,0.7391304347826086,0.8695652173913043,0.9565217391304348,simple3_available,context_full,real,
19,5,23,0.5652173913043478,0.3186274509803922,0.008183945106782832,0.5652173913043478,0.8695652173913043,0.9130434782608695,simple3_available,context_full,real,
20,5,23,0.6956521739130435,0.4148148148148148,0.016505374889009373,0.7391304347826086,0.8695652173913043,0.9130434782608695,simple3_available,context_full,real,
21,5,24,0.75,0.49673202614379086,0.0017473601187714498,0.7916666666666666,0.9583333333333334,1.0,simple3_available,context_full,real,
22,5,23,0.6521739130434783,0.3333333333333333,0.02934676039020881,0.6956521739130435,0.782608695652174,0.8695652173913043,simple3_available,context_full,real,
23,5,23,0.6086956521739131,0.3636363636363636,0.02170875402148157,0.6086956521739131,0.6956521739130435,0.8695652173913043,simple3_available,context_full,real,
24,5,23,0.7391304347826086,0.47450980392156855,0.0026925328850422375,0.8260869565217391,0.9130434782608695,1.0,simple3_available,context_full,real,
25,5,23,0.782608695652174,0.5079365079365079,0.003776093678629739,0.782608695652174,0.9565217391304348,0.9565217391304348,simple3_available,context_full,real,
26,5,24,0.5833333333333334,0.3074074074074074,0.014231902312651838,0.625,0.8333333333333334,0.875,simple3_available,context_full,real,
27,5,23,0.6521739130434783,0.4038461538461539,0.021933486814018535,0.6956521739130435,0.6956521739130435,0.8260869565217391,simple3_available,context_full,real,
28,5,23,0.6956521739130435,0.4148148148148148,0.01695930055645653,0.7391304347826086,0.8260869565217391,0.8695652173913043,simple3_available,context_full,real,
29,5,23,0.7391304347826086,0.4444444444444445,0.03635092451142066,0.782608695652174,0.8695652173913043,0.9130434782608695,simple3_available,context_full,real,
30,5,23,0.8260869565217391,0.5607843137254902,0.0007279916049861037,0.8260869565217391,1.0,1.0,simple3_available,context_full,real,
31,5,24,0.75,0.49673202614379086,0.01701511302208215,0.75,0.875,0.9583333333333334,simple3_available,context_full,real,
32,5,23,0.6086956521739131,0.2522522522522523,0.03254377958470885,0.6521739130434783,0.782608695652174,0.8260869565217391,simple3_available,context_full,real,
