did,DecisionTree,KNN,LogisticRegression,MLP,Perceptron,SVM,best_classifier,best_accuracy
46601,0.6269936890418818,0.6626219162363741,0.7222891566265061,0.6720596672403902,0.5855421686746988,0.7296041308089501,SVM,0.7296041308089501
46602,1.0,0.97,1.0,1.0,0.995,1.0,DecisionTree,1.0
46605,0.9267942583732056,0.9085782638414216,0.9059466848940532,0.9346548188653452,0.8691387559808612,0.9269309637730688,MLP,0.9346548188653452
46652,0.3362739006630855,,0.4647008555111359,,0.3302616341395469,,LogisticRegression,0.4647008555111359
46667,0.56125,0.66875,0.7050000000000001,0.6849999999999999,0.5075,0.5125,LogisticRegression,0.7050000000000001
46733,0.9673076923076922,0.9153846153846154,0.928846153846154,0.9692307692307692,0.8634615384615385,0.9615384615384616,MLP,0.9692307692307692
46745,1.0,1.0,1.0,1.0,1.0,1.0,DecisionTree,1.0
46752,1.0,0.8695,0.8240000000000001,0.9825,0.7649999999999999,0.903,DecisionTree,1.0
46806,0.7471865594953255,0.836965051063198,0.8544487738855653,0.8693773124003463,0.8208621650333257,0.8656445029700908,MLP,0.8693773124003463
46827,0.4094458229942101,0.6135814722911498,0.6289909015715467,0.6071877584780812,0.5905541770057898,0.6354011579818031,SVM,0.6354011579818031
46846,0.8092600513259194,0.83071000855432,0.8688622754491018,0.8521813515825493,0.8045195323638439,0.8688694040490448,SVM,0.8688694040490448
46850,0.2476534296028881,0.251985559566787,0.2483754512635378,0.2613718411552346,0.2498194945848375,0.2462093862815884,MLP,0.2613718411552346
46874,0.7660657992844386,0.8202573824785707,0.8457042744231421,0.844664918544036,0.7273940128405452,0.735564861322241,LogisticRegression,0.8457042744231421
46879,0.437037037037037,0.4611111111111111,0.337037037037037,0.3722222222222222,0.3111111111111111,0.4185185185185185,KNN,0.4611111111111111
46911,0.7901,0.8323,0.8084,0.8583000000000001,0.7082999999999999,0.8516,MLP,0.8583000000000001
46937,0.6843271630344093,,0.6272466548706899,,0.5447021619464107,,DecisionTree,0.6843271630344093
46938,0.8014964610717896,0.8728968655207279,0.8850825749915741,0.8543191776204921,0.8850825749915741,0.8862453656892484,SVM,0.8862453656892484
46940,0.8245535714285716,0.8674107142857143,0.8816964285714285,0.8794642857142858,0.8227678571428572,0.8508928571428573,LogisticRegression,0.8816964285714285
46941,0.833331707554992,0.671584646149344,0.6173438033458518,0.5383797493049797,0.4683851143735063,0.4132029459103546,DecisionTree,0.833331707554992
46960,0.6740524580105836,0.6984605158882328,0.7680819081217886,0.7407288391236547,0.7445775494030729,0.7558751949280363,LogisticRegression,0.7680819081217886
46962,0.9516072016403354,0.9696434680270148,0.9670032036455722,0.9617209536493372,0.9407578375284812,0.9677372020921592,KNN,0.9696434680270148
