seed,config,n_observations,n_unique_datasets,regret_coverage,hit_best_rate,mean_regret,median_regret,p90_regret,zero_regret_rate,within_1pp_rate,chosen_accuracy_mean,oracle_accuracy_mean,domain
5,baseline_stats,35.0,35.0,0.9714285714285714,0.42857142857142855,0.03761906483410333,0.0018422070686609088,0.09946470468372492,0.4411764705882353,0.5882352941176471,0.8314347514481059,0.869053816282209,image
5,baseline_stats,164.0,164.0,1.0,0.3719512195121951,0.02681326623682472,0.0029068863383932553,0.06199919862351813,0.42073170731707316,0.6097560975609756,0.8241253233378567,0.8509385895746815,other
5,baseline_stats,16.0,16.0,1.0,0.5,0.01753381032345323,0.0,0.03807177298499015,0.5625,0.625,0.8538691833262743,0.8714029936497275,sensor_signal
5,baseline_stats,26.0,26.0,0.9615384615384616,0.2692307692307692,0.023493131746680055,0.007999999999999896,0.061573830069778096,0.32,0.56,0.7384222693063314,0.7619154010530115,social
5,baseline_stats,15.0,15.0,1.0,0.4,0.02604976959729444,0.00042283298097256505,0.10985517058269084,0.4666666666666667,0.6666666666666666,0.7735814635914487,0.7996312331887432,text
5,real_domain_rank,143.0,143.0,0.986013986013986,0.4755244755244755,0.019874073327617876,0.0,0.055999999999999994,0.5106382978723404,0.6879432624113475,0.7926359903484249,0.8125100636760428,biology
5,real_domain_rank,40.0,40.0,1.0,0.225,0.03101295809230603,0.004106419895893554,0.07084459459459465,0.275,0.575,0.8081669504357899,0.8391799085280958,education
5,real_domain_rank,60.0,60.0,1.0,0.6833333333333333,0.01295961385611811,0.0,0.03185574306434894,0.7,0.85,0.7212440826210659,0.734203696477184,finance
5,real_domain_rank,48.0,48.0,0.9791666666666666,0.3125,0.026274344239479205,0.009783183500793213,0.07714985382692399,0.3617021276595745,0.5106382978723404,0.7871823508784481,0.8134566951179273,health
5,real_domain_rank,35.0,35.0,0.9714285714285714,0.45714285714285713,0.036572312781140516,0.0,0.09946470468372492,0.5294117647058824,0.6470588235294118,0.8324815035010686,0.869053816282209,image
5,real_domain_rank,164.0,164.0,1.0,0.3719512195121951,0.025550710155443204,0.003285714285714225,0.06276144907723855,0.4146341463414634,0.6036585365853658,0.8253878794192383,0.8509385895746815,other
5,real_domain_rank,16.0,16.0,1.0,0.375,0.022353247977269234,0.0013573904451296692,0.08222578710644685,0.4375,0.6875,0.8490497456724583,0.8714029936497275,sensor_signal
5,real_domain_rank,26.0,26.0,0.9615384615384616,0.34615384615384615,0.02356485657399994,0.007499999999999951,0.06393474168604195,0.36,0.6,0.7383505444790114,0.7619154010530115,social
5,real_domain_rank,15.0,15.0,1.0,0.4,0.018377162014707536,0.00042283298097256505,0.06435663660617205,0.4666666666666667,0.6666666666666666,0.7812540711740358,0.7996312331887432,text
7,baseline_stats,143.0,143.0,0.986013986013986,0.48951048951048953,0.01802862880602146,0.0,0.041000000000000036,0.524822695035461,0.6879432624113475,0.7969122859338511,0.8149409147398726,biology
7,baseline_stats,40.0,40.0,1.0,0.3,0.036153534742039514,0.006588599878073476,0.08138334027881546,0.325,0.525,0.8030263737860566,0.839179908528096,education
7,baseline_stats,60.0,60.0,1.0,0.43333333333333335,0.046244026755052244,0.0028201321907212473,0.1684517969195664,0.45,0.5833333333333334,0.6879596697221316,0.7342036964771841,finance
