config,seed,permutation_id,fold,n_test,accuracy,f1_macro,top3_accuracy,mean_regret,zero_regret_rate,within_1pp_rate,regret_coverage
shuffled_domain_rank,42,27.0,5,108,0.32407407407407407,0.19929453262786592,0.8240740740740741,0.02540533375590113,0.3644859813084112,0.6074766355140186,0.9907407407407407
shuffled_domain_rank,42,28.0,1,115,0.40869565217391307,0.2512976942189305,0.7739130434782608,0.02306559363159629,0.45217391304347826,0.7043478260869566,1.0
shuffled_domain_rank,42,28.0,2,108,0.3611111111111111,0.3058089553905954,0.8518518518518519,0.03713494333551964,0.37037037037037035,0.5092592592592593,1.0
shuffled_domain_rank,42,28.0,3,108,0.37962962962962965,0.25707766959092515,0.8148148148148148,0.0271518293655268,0.42592592592592593,0.5740740740740741,1.0
shuffled_domain_rank,42,28.0,4,108,0.4074074074074074,0.3059529164792323,0.8703703703703703,0.02587165338131249,0.46226415094339623,0.6226415094339622,0.9814814814814815
shuffled_domain_rank,42,28.0,5,108,0.2777777777777778,0.15698154600593625,0.8055555555555556,0.028950389743654593,0.3047619047619048,0.6,0.9722222222222222
shuffled_domain_rank,42,29.0,1,115,0.4434782608695652,0.2871148459383754,0.7652173913043478,0.021838529737921653,0.4782608695652174,0.7217391304347827,1.0
shuffled_domain_rank,42,29.0,2,108,0.39814814814814814,0.29367816091954024,0.8981481481481481,0.03732606776562912,0.4074074074074074,0.5185185185185185,1.0
shuffled_domain_rank,42,29.0,3,108,0.4074074074074074,0.27342574683000215,0.8240740740740741,0.028260505119546114,0.4537037037037037,0.5833333333333334,1.0
shuffled_domain_rank,42,29.0,4,108,0.3888888888888889,0.28729483028292896,0.8518518518518519,0.026736243933781424,0.42452830188679247,0.5943396226415094,0.9814814814814815
shuffled_domain_rank,42,29.0,5,108,0.2777777777777778,0.16501475705916038,0.8055555555555556,0.02728993700128904,0.3113207547169811,0.5660377358490566,0.9814814814814815
baseline_stats,7,,1,115,0.4608695652173913,0.3133848133848134,0.7565217391304347,0.01683749295598932,0.4782608695652174,0.7391304347826086,1.0
baseline_stats,7,,2,108,0.3425925925925926,0.22960643587578575,0.8055555555555556,0.04475204756552841,0.35185185185185186,0.5,1.0
baseline_stats,7,,3,108,0.3611111111111111,0.28693289367497105,0.7685185185185185,0.028640929110600306,0.4166666666666667,0.5555555555555556,1.0
baseline_stats,7,,4,108,0.42592592592592593,0.31023553103931356,0.9166666666666666,0.019502284294698916,0.49514563106796117,0.6310679611650486,0.9537037037037037
baseline_stats,7,,5,108,0.37037037037037035,0.2057401789544647,0.8425925925925926,0.0191770680265138,0.4074074074074074,0.6203703703703703,1.0
real_domain_rank,7,,1,115,0.46956521739130436,0.3169254658385093,0.7739130434782608,0.018809384677905126,0.4956521739130435,0.7391304347826086,1.0
real_domain_rank,7,,2,108,0.4537037037037037,0.27582325491818854,0.8240740740740741,0.030175282841163307,0.46296296296296297,0.6203703703703703,1.0
real_domain_rank,7,,3,108,0.3611111111111111,0.288646583768535,0.7777777777777778,0.03402547437703049,0.4166666666666667,0.5648148148148148,1.0
real_domain_rank,7,,4,108,0.4074074074074074,0.30215004071213225,0.9259259259259259,0.021687321243510197,0.47115384615384615,0.625,0.9629629629629629
real_domain_rank,7,,5,108,0.37962962962962965,0.1992754868270332,0.8240740740740741,0.021445705829477385,0.4166666666666667,0.6296296296296297,1.0
shuffled_domain_rank,7,0.0,1,115,0.4434782608695652,0.30598796424883384,0.7652173913043478,0.02040619589674596,0.4608695652173913,0.7217391304347827,1.0
shuffled_domain_rank,7,0.0,2,108,0.46296296296296297,0.28888371872589946,0.8055555555555556,0.03323944374081257,0.4722222222222222,0.5833333333333334,1.0
