config,seed,permutation_id,accuracy,f1_macro,top3_accuracy,mean_regret,median_regret,p90_regret,zero_regret_rate,within_1pp_rate,regret_coverage,accuracy_delta_vs_baseline,accuracy_effect_vs_baseline,f1_macro_delta_vs_baseline,f1_macro_effect_vs_baseline,top3_accuracy_delta_vs_baseline,top3_accuracy_effect_vs_baseline,mean_regret_delta_vs_baseline,mean_regret_effect_vs_baseline,zero_regret_rate_delta_vs_baseline,zero_regret_rate_effect_vs_baseline,within_1pp_rate_delta_vs_baseline,within_1pp_rate_effect_vs_baseline
shuffled_domain_rank,7,6.0,0.3930530164533821,0.2798492592104163,0.8208409506398537,0.026602209274088125,0.002483355898536155,0.08823355854046551,0.42830882352941174,0.6158088235294118,0.9945155393053017,0.0,0.0,0.0057288770175770165,0.0057288770175770165,0.003656307129798919,0.003656307129798919,0.0008778332589992784,-0.0008778332589992784,-0.001580475363577194,-0.001580475363577194,0.005107716518341632,0.005107716518341632
shuffled_domain_rank,7,7.0,0.40219378427787933,0.2835705111880417,0.8135283363802559,0.025426410680329005,0.00262841224917143,0.08019240506329121,0.4388888888888889,0.6111111111111112,0.9872029250457038,0.009140767824497242,0.009140767824497242,0.009450128995202423,0.009450128995202423,-0.003656307129798919,-0.003656307129798919,-0.0002979653347598421,0.0002979653347598421,0.008999589995899948,0.008999589995899948,0.00041000410004099486,0.00041000410004099486
shuffled_domain_rank,7,8.0,0.39488117001828155,0.2726502984308032,0.8171846435100548,0.029155060553089748,0.0026165601169002572,0.08813333333333327,0.429097605893186,0.6132596685082873,0.9926873857404022,0.0018281535648994596,0.0018281535648994596,-0.0014700837620361118,-0.0014700837620361118,0.0,0.0,0.0034306845380009006,-0.0034306845380009006,-0.0007916929998029176,-0.0007916929998029176,0.0025585614972171156,0.0025585614972171156
shuffled_domain_rank,7,9.0,0.43144424131627057,0.2921790292548725,0.8080438756855576,0.024011138731185468,0.0011813945429725026,0.06993563834496308,0.46494464944649444,0.6457564575645757,0.9908592321755028,0.038391224862888484,0.038391224862888484,0.018058647062033195,0.018058647062033195,-0.009140767824497242,-0.009140767824497242,-0.0017132372839033794,0.0017132372839033794,0.035055350553505504,0.035055350553505504,0.035055350553505504,0.035055350553505504
shuffled_domain_rank,7,10.0,0.40036563071297987,0.28311617401901845,0.8281535648994516,0.02404716802620189,0.002427716180867734,0.07599999999999996,0.43911439114391143,0.6125461254612546,0.9908592321755028,0.007312614259597783,0.007312614259597783,0.008995791826179156,0.008995791826179156,0.010968921389396757,0.010968921389396757,-0.0016772079888869584,0.0016772079888869584,0.009225092250922495,0.009225092250922495,0.0018450184501844769,0.0018450184501844769
shuffled_domain_rank,7,11.0,0.40219378427787933,0.2791342584432794,0.8171846435100548,0.026361513316825725,0.002471448446954183,0.08840813008130075,0.4411764705882353,0.6194852941176471,0.9945155393053017,0.009140767824497242,0.009140767824497242,0.005013876250440086,0.005013876250440086,0.0,0.0,0.000637137301736878,-0.000637137301736878,0.011287171695246345,0.011287171695246345,0.008784187106576913,0.008784187106576913
shuffled_domain_rank,7,12.0,0.42413162705667273,0.29094167485814776,0.8117001828153565,0.02485242171691544,0.001410174174767076,0.07599999999999996,0.4604051565377532,0.6445672191528545,0.9926873857404022,0.031078610603290646,0.031078610603290646,0.016821292665308463,0.016821292665308463,-0.005484460694698323,-0.005484460694698323,-0.0008719542981734073,0.0008719542981734073,0.030515857644764277,0.030515857644764277,0.033866112141784366,0.033866112141784366
shuffled_domain_rank,7,13.0,0.3875685557586837,0.267515582939097,0.8117001828153565,0.026731325259090274,0.0028153370426185487,0.07960216304347048,0.42435424354243545,0.6107011070110702,0.9908592321755028,-0.005484460694698379,-0.005484460694698379,-0.0066047992537422995,-0.0066047992537422995,-0.005484460694698323,-0.005484460694698323,0.0010069492440014267,-0.0010069492440014267,-0.005535055350553486,-0.005535055350553486,0.0,0.0
shuffled_domain_rank,7,14.0,0.4076782449725777,0.28639582551119774,0.8153564899451554,0.026458532158772356,0.002471448446954183,0.08762439024390256,0.43911439114391143,0.6199261992619927,0.9908592321755028,0.014625228519195621,0.014625228519195621,0.012275443318358448,0.012275443318358448,-0.001828153564899404,-0.001828153564899404,0.0007341561436835092,-0.0007341561436835092,0.009225092250922495,0.009225092250922495,0.009225092250922495,0.009225092250922495
shuffled_domain_rank,7,15.0,0.41681901279707495,0.28540420476791256,0.8153564899451554,0.025865303828233266,0.0016092670510620133,0.08483128350678015,0.45286506469500926,0.6303142329020333,0.9890310786106032,0.023765996343692863,0.023765996343692863,0.011283822575073266,0.011283822575073266,-0.001828153564899404,-0.001828153564899404,0.00014092781314441888,-0.00014092781314441888,0.02297576580202032,0.02297576580202032,0.01961312589096309,0.01961312589096309
